,Doc Title,Len_char,Len_word,Output,Sent
3068,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,171.0,26.0,['change affect area'],"  Other  reasons  relate  to  a  desire  to  better 
understand how climate change might affect a particular area, or concerns expressed by resource managers or the public"
3257,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,153.0,22.0,['scientists recommend use'],"0) 

   34 

 

 

 

Accordingly, climate scientists are recommending the use of an ensemble of models to capture the range of potential climate change"
3313,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,179.0,26.0,['models provide way'],"  Ecological 
response models provide a way to assess the sensitivity and potential adaptability or resilience of species, habitats, and ecosystems 
to climate change (Glick et al"
3392,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,194.0,24.0,['report provide discussion']," The IPCC’s report (2007b) provides a 
comprehensive discussion of language for describing uncertainty and levels of confidence in climate change assessments, including 
quantitative terminology"
3466,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,71.0,10.0,['impacts require monitoring']," Therefore, even low risk climate change impacts may require monitoring"
3497,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,148.0,21.0,['impacts seek data']," Monitor impacts of climate change and effectiveness of adaptation measures; seek 
out new data, and scientific and local knowledge and perspectives"
3499,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,173.0,28.0,['actions provide benefits'],"  

No-regrets actions provide benefits regardless of the rate and magnitude of climate change and can be further justified when there is 
no cost or risk of negative impact"
3506,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,188.0,25.0,['measures reduce vulnerability']," These measures simultaneously reduce vulnerability to climate change and 
decrease greenhouse gas emissions or sequester carbon from the atmosphere, and therefore may be desirable options"
3629,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,418.0,56.0,"['panel release report', 'panel release report recommendations']","  The  panel  released  its  report  in  2009  with  59 
recommendations 
including  recommendation  #34,  which 
states that the “climate change adaptation strategy called for 
in the Lake Simcoe Protection Plan should be considered as 
a  pilot  project  with  potential  application  to  strategies  for 
increasing the climate resilience of other watersheds” (Expert 
Panel  on  Climate  Change  Adaptation,  2009)"
3638,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,425.0,54.0,"['Assessments engage scientists', 'Assessments engage scientists vulnerability', 'Assessments engage scientists vulnerabilityproject engage scientists', 'Assessments engage scientists vulnerabilityproject engage scientists vulnerability', 'assessments establish forum', 'assessments establish forumthemes establish forum']","0) 

   57 

 

Lake Simcoe Climate Change Vulnerability Assessments 

The  project  team  engaged  scientists  and  practitioners  to  complete  preliminary  vulnerability  assessments  for  11  themes  and 
established a forum of climate change experts to generate adaptation options for addressing the known and potential vulnerabilities 
of natural assets and infrastructure to climate change described by the scientists"
3648,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,232.0,36.0,"['they provide list', 'they provide list consequences']","  In  addition,  they  provided  a  list  of  three  primary  consequences  of  climate  change  for  their  theme  or  sector;  these  were 
communicated to the forum of climate change experts at a workshop (refer to Step 5, above)"
3668,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,451.0,62.0,['scenarios improve robustness'],"0) 

   59 

 

 

 

Lessons Learned from the Lake Simcoe Vulnerability Assessment and Adaptation Strategy 

A number of observations and recommendations about project design and implementation were collected by the project team: 

  Use an ensemble of climate models and scenarios when possible: Access to a number of climate change projections and 
scenarios can significantly improve the robustness of analyses and strategic planning discussions"
4288,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,236.0,35.0,"['adaptations require changes', 'agencies plan lands']"," This is particularly important in the area of climate change adaptation, 
as some adaptations may require fundamental changes in the way in which agencies have traditionally planned and managed lands, 
waters, and the built environment"
4321,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,184.0,25.0,['\uf0a7 support programs'],"0) 

   72 

 

 

 

Creating an Adaptation Menu: Sources of Adaptation Approaches 
 

  MNR has supported diverse research programs to better understand and adapt to climate change"
3,A_Residential_Guide_to_Flood_Prevention_and_Recovery,200.0,36.0,['we provide resource'],"
In order to help you prepare for an emergency, we are 
providing this resource for you to keep and read before and 
in the event of an emergency: A Residential Guide to Flood 
Prevention and Recovery"
10,A_Residential_Guide_to_Flood_Prevention_and_Recovery,551.0,80.0,"['city provide guide', 'residents increase awareness']","

Sincerely,

Bonnie Crombie, Mayor of Mississauga

2

City Council

Stephen Dasko  
Ward 1 Councillor

Karen Ras 
Ward 2 Councillor

Chris Fonseca  
Ward 3 Councillor

John Kovac 
Ward 4 Councillor

Carolyn Parrish  
Ward 5 Councillor 

Ron Starr 
Ward 6 Councillor

Dipika Damerla 
Ward 7 Councillor

Matt Mahoney 
Ward 8 Councillor

Pat Saito 
Ward 9 Councillor

Sue McFadden 
Ward 10 Councillor

George Carlson 
Ward 11 Councillor 

3

The city of Mississauga provides this comprehensive guide for 
residents to increase awareness about flooding"
17,A_Residential_Guide_to_Flood_Prevention_and_Recovery,79.0,13.0,['storms cause flooding'],"

• Severe storms can cause flash flooding with little or  

no advance warning"
24,A_Residential_Guide_to_Flood_Prevention_and_Recovery,273.0,42.0,['cities face crises'],"ca
  @citymississauga
City of Mississauga
 

The Challenge

Canadian cities face two crises that are converging 
into a perfect storm – a rapid rise in extreme weather 
events as a result of climate change combined with a 
growing sewer and stormwater infrastructure deﬁcit"
41,A_Residential_Guide_to_Flood_Prevention_and_Recovery,220.0,38.0,['you experience flooding'],"

Types of flooding 
If you’ve experienced flooding, it’s important 
to know what type of water is in the  
basement and understand what caused  
it so you know what steps to take to help 
prevent it from happening again"
89,A_Residential_Guide_to_Flood_Prevention_and_Recovery,514.0,92.0,['manhole cover T'],"

basement
wall

basement

ﬂoor

eavestrough

downspouts

graded away
from home

backﬁll
zone

stormwater

lateral

weeping tile

wastewater
trunk sewer

wastewater

lateral

manhole

cover

T
y
p
e
s
 

i

o
f
 
f
l
o
o
d
n
g
&
 
f
l
o
o
d
n
g

 

i

 

p
r
e
v
e
n
t
i
o
n

9

Overland Flooding
Historically, prior to the determination of regulatory flood plains 
by conservation authorities, some homes were built in areas 
along creeks and rivers which can be prone to flooding during 
extreme rainfall events"
91,A_Residential_Guide_to_Flood_Prevention_and_Recovery,141.0,25.0,['water overtop banks'],"  
During high flow conditions, caused by very heavy rain or rapid 
spring thaw, water may overtop the banks and swell in to the 
flood plain"
93,A_Residential_Guide_to_Flood_Prevention_and_Recovery,193.0,27.0,['quantity exceed capacity'],"
During extreme conditions, overland flooding can also occur 
away from watercourses when the quantity of precipitation 
exceeds the capacity of the roadway and overflows onto 
private property"
94,A_Residential_Guide_to_Flood_Prevention_and_Recovery,721.0,120.0,"['manhole cover road', 'trap reduce risk']","

T
y
p
e
s
 

Image courtesy of CVC

i

o
f
 
f
l
o
o
d
n
g
&
 
f
l
o
o
d
n
g

 

i

 

p
r
e
v
e
n
t
i
o
n

10

eavestrough

downspouts

overland ﬂow
poor grading

backﬁll
zone

stormwater

lateral

weeping tile

basement
wall

basement

ﬂoor

wastewater

lateral

wastewater
trunk sewer

manhole

cover

road

surface

catch
basin

stormwater
trunk sewer

overland ﬂow

basement
windows

poor grading

open basement
window

ﬂoor
drain

footing

trap

Reduce the risk
If your home is located within a regulatory flood plain, contact 
your local conservation authority (Credit Valley Conservation, 
Toronto and Region Conservation Authority or Conservation 
Halton) to learn more about protecting your home from flooding"
97,A_Residential_Guide_to_Flood_Prevention_and_Recovery,111.0,16.0,['connections overload system']," These connections can overload 
the wastewater system and should be updated to help prevent 
basement flooding"
102,A_Residential_Guide_to_Flood_Prevention_and_Recovery,29.0,3.0,['flooding visit peelregion'],"ca/flooding

Visit peelregion"
139,A_Residential_Guide_to_Flood_Prevention_and_Recovery,97.0,17.0,['you experience flood']," Just because you haven’t 
experienced a flood in the past, doesn’t mean you 
won’t in the future"
152,A_Residential_Guide_to_Flood_Prevention_and_Recovery,143.0,25.0,['you take home'],"

A few steps you 
can take inside your 
home to reduce  
flood damage

• Do not store your important 

valuables or documents in 
the basement"
159,A_Residential_Guide_to_Flood_Prevention_and_Recovery,1240.0,193.0,"['skin • hat', 'you evacuate home']","

Flooding PreventionA 72 hour Go-Kit includes:

• Toilet paper and other 
personal hygiene items
• Medication (especially 
prescription—72 hours 
worth at least)

• Eyewear (glasses/contacts)
• Whistle (to attract 

attention, if needed)

• Playing cards (or other 

quiet games/toys)
• Paper/pencils/pens
• Map of your community 

(for locating shelters)

• Flashlight
• Battery-operated  

or crank radio

• Spare batteries (for 

flashlight and/or radio)

• First-aid kit
• Candles and  

matches/lighter

• Extra car keys and cash
• Important papers  

(copies of identification, 
insurance policies)

• Non-perishable food  

and bottled water  
(as much as your family  
can manage to carry)

• Items needed to open food 

(such as a manual  
can opener)

• Clothing and footwear
• Blankets or sleeping bags

To prepare for a  
flood, you may want 
to include some  
additional protective 
equipment in your 
Go-Kit including: 

• protective clothing to fully  

cover skin

• hard hat
• gloves
• N-95 Masks
• protective eyewear
• rubber boots (puncture-proof 

and waterproof are best)

• a copy of this guide

Always have your  
cell phone charged  
and in a location  
that makes it easy  
to grab if you must 
evacuate your home"
178,A_Residential_Guide_to_Flood_Prevention_and_Recovery,77.0,13.0,['water enter home']," 

• In general, water entering a home from overland flooding is 
not covered"
205,A_Residential_Guide_to_Flood_Prevention_and_Recovery,109.0,17.0,['flooding cover policies'],"  Damage to your home resulting from 

overland flooding is not covered by home 
insurance policies in Canada"
243,A_Residential_Guide_to_Flood_Prevention_and_Recovery,126.0,17.0,['conditions create situations'],"

Potential hazards in  
flooding conditions
Flooding conditions can create hazardous 
situations both in and around your home"
250,A_Residential_Guide_to_Flood_Prevention_and_Recovery,49.0,7.0,['Floodwaters erode roads']," 

• Floodwaters often erode roads and 

walkways"
253,A_Residential_Guide_to_Flood_Prevention_and_Recovery,122.0,18.0,['waters contain sewage'],"

• Flood waters can contain sewage (may 
contain bacteria, viruses or parasites), 
chemicals and debris like broken glass"
261,A_Residential_Guide_to_Flood_Prevention_and_Recovery,128.0,22.0,['you evacuate home'],"

Evacuation
For your protection, you may decide it is necessary for  
you to evacuate your home or an area impacted by flooding"
275,A_Residential_Guide_to_Flood_Prevention_and_Recovery,155.0,32.0,['flooding affect safety']," 

D
u
r
i
n
g

 
a
 
f
l
o
o
d

20

Flooding PreventionIf you remain in your home
Remember that flooding can affect your safety and possibly 
your health"
276,A_Residential_Guide_to_Flood_Prevention_and_Recovery,96.0,16.0,['you enter area']," Take precautions to prevent illness and injury 
before you enter any area that has been flooded"
283,A_Residential_Guide_to_Flood_Prevention_and_Recovery,122.0,18.0,['waters contain sewage'],"

• Flood waters can contain sewage (may contain bacteria, 

viruses or parasites), chemicals and debris like broken glass"
294,A_Residential_Guide_to_Flood_Prevention_and_Recovery,77.0,11.0,['Flooding affect safety'],"

Initial safety precautions 
Flooding can affect your safety and your health"
315,A_Residential_Guide_to_Flood_Prevention_and_Recovery,74.0,10.0,['you enter municipality'],"ca/business 
Search for “flood damage” 
after you enter your 
municipality"
318,A_Residential_Guide_to_Flood_Prevention_and_Recovery,151.0,23.0,['waters contain sewage'],"  

Flooding Preventionand waterproof are best)

Clean up
Before you clean up
Flood waters can contain sewage, chemicals and debris like 
broken glass"
351,A_Residential_Guide_to_Flood_Prevention_and_Recovery,149.0,24.0,['technician verify safety'],"

Appliances 
• A qualified service technician should verify the safety  

of any appliance that has been affected by flood water  
before it is used"
354,A_Residential_Guide_to_Flood_Prevention_and_Recovery,110.0,17.0,['Medicines discard items'],"

Medicines, cosmetics and other toiletries 
Discard these items if they have been in contact with flood water"
434,A_Residential_Guide_to_Flood_Prevention_and_Recovery,120.0,15.0,['you experience effects'],"

Flooding PreventionIf you are  
experiencing  
health effects  
or are injured,  
seek appropriate 
medical attention"
438,A_Residential_Guide_to_Flood_Prevention_and_Recovery,203.0,29.0,['waters pose risk'],"

Potential health risks
Contaminated flood waters can pose a  
risk to your health
Ingestion of disease-causing bacteria, viruses and other germs 
found in sewage can cause gastrointestinal (GI) illness"
441,A_Residential_Guide_to_Flood_Prevention_and_Recovery,95.0,15.0,['contact cause rashes']," 
Skin contact with contaminated flood water can cause skin rashes 
and infection in open sores"
456,A_Residential_Guide_to_Flood_Prevention_and_Recovery,657.0,123.0,"['production • degree', 'You experience feelings']","

Health effects related to mould depend on: 
• the type of mould 
• the amount of mould 
• the production of certain substances by the mould 
• the degree of exposure 
• the health condition of the person exposed

Some people who may be more at risk of having health 
effects when exposed to mould include: 
• pregnant women 
• infants 
• the elderly 
• those with existing health problems such as respiratory disease 

or a weakened immune system

H
e
a
l
t
h

 
c
o
n
s
i
d
e
r
a
t
i
o
n
s

30

Flooding PreventionCoping after a crisis
You may experience strong feelings of stress immediately or 
weeks after a flood or significant weather-related event"
507,A_Residential_Guide_to_Flood_Prevention_and_Recovery,424.0,70.0,['you repair home']," 

Family Services of Peel 
905-270-2250
Associated Youth  
Services of Peel 
Telephone (Toll Free): 
1-800-762-8377
Telephone:  
905-890-5222

United Way
Mississauga  
905-602-3650

H
e
a
l
t
h

 
c
o
n
s
i
d
e
r
a
t
i
o
n
s

32

Flooding PreventionRepairing your 
home

Tips and considerations when you are  
repairing your home
• Do not attempt to reconnect the electricity, natural gas, 

telephone or TV cable yourself"
509,A_Residential_Guide_to_Flood_Prevention_and_Recovery,157.0,26.0,['technician verify safety'],"

• A qualified service technician should verify the safety of  
any electrical system or appliance that has been affected  
by flood water before it is used"
525,A_Residential_Guide_to_Flood_Prevention_and_Recovery,153.0,22.0,['you experience feelings'],"

Health and safety
  Seek help if you or your children 

experience strong feelings of stress 
following a flood or significant  
weather-related event"
542,A_Residential_Guide_to_Flood_Prevention_and_Recovery,158.0,35.0,['flood happen Mississauga'],"

l

F
o
o
d
n
g

i

 
c
h
e
c
k

l
i
s
t

When a flood happens
  Contact Mississauga at 311 or  

905-615-4311 if outside city limits  
to report your flood"
23,adapt_bulletin-adapt1-eng,144.0,21.0,['gure exceed number']," This ﬁ gure exceeds the number 
of mortalities resulting from hurricanes, lightning, tornadoes, ﬂ oods, 
and earthquakes combined (Luber, et al"
21,Adapting to Climate Change in Coastal Communities In Canada White Paper,219.0,31.0,"['Communities provide guidance', 'Communities provide guidanceCanada provide guidance']","  

Adapting to Climate Change in Coastal Communities 
of the Atlantic Provinces, Canada provides guidance 
on  strategies  and  tools  to  manage  climate  change‐
driven sea level rise and coastal flooding and erosion"
29,Adapting to Climate Change in Coastal Communities In Canada White Paper,258.0,34.0,"['flooding describe suitability', 'flooding describe suitability objectives']"," 

Part 3 Engineering Tools Adaptation Options, presents 
over two dozen engineering tools to manage coastal 
flooding and erosion, describes the suitability of the 
tools  for  different  coastal  conditions  and  climate 
change  adaptation  objectives  (e"
4961,Adapting to Climate Change in Coastal Communities In Canada White Paper,133.0,16.0,['infrastructure include flooding'],"  Changes  to  infrastructure  may 
include  designing  to  accommodate  flooding  with 
raised, flood proofed or floating structures"
4994,Adapting to Climate Change in Coastal Communities In Canada White Paper,3220.0,771.0,"['Scenario plan t', 'Buffers use setbacks', 'Buffers use setbacks Subdivision', 'Buffers use setbacks Subdivision by‐law', 'Buffers use setbacks Subdivision by‐lawLand use setbacks', 'Buffers use setbacks Subdivision by‐lawLand use setbacks Subdivision', 'Buffers use setbacks Subdivision by‐lawLand use setbacks Subdivision by‐law', 'part require initiative']","1 LAND USE PLANNING ADAPTATION TOOLS 

Land Use Planning Tools Applicable for Coastal Climate Change 

Adaptation 

Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr
Pr

P, Pr, A, Av, R
P, Pr, A, Av, R
P, Pr, A, Av, R
P, Pr, A, Av, R
P, Pr, A, Av, R
Pr, A, Av, R
Pr, Av, R
Pr, Av
Pr, Av, R
Pr, A, Av
Pr, A, Av
Pr, A, Av
Pr, Av, R
Pr, Av, R
A, Av, R
A, Av, R
A, Av, R
A, Av
A, Av
A, Av
A, Av, R
Av, R
Av
Av
Av
Av
Av
Av
A
Av
Av
R, Av
R, Av

A
A

R, Av
R, Av
R, Av

R
R
Pr
A, Av
Av
Pr, A
Pr

Provincial policy statements or statements of interest
Partnerships
Education programs
Local committees
Community engagement
Community asset mapping
Visualization
Scenario planning

 

a
t
a
D

 

 

&
g
n
i
r
e
h
t
a
g

i

g
n
p
p
a
m

Hazard and risk mapping
Vulnerability assessment
Floodplain mapping
Land classification mapping

Emergency preparedness and/or management plan
Statutory community plan (municipal planning strategy, 
Secondary plan or area plan
Regional plan (non‐statutory), land use policy, land use 

 
,

n
o
i
t
c
a

 
,
e
c
n
a
d
u
G

i

 
t
n
e
m
e
g
a
n
a
m
d
n
a

 

s
n
a
p

l

e
v
i
t
n
e
c
n

I

Integrated community sustainability plan
Climate change action/adaptation plan
Shoreline/coastal management plan
Watershed management plan
Stormwater management plan
Strategic land acquisition (land bank)
Tax incentive
Density Bonusing
Development incentive

Wetland policy
Wetland regulations

i

g
n
n
o
Z

s
k
c
a
b
t
e
S

Land use zoning
Overlay zoning
Hazard zoning
Performance zoning (PUD)
Conservation/protection zoning
Temporal zoning
Down zoning
Retreating/migrating setbacks
Fixed setbacks
Horizontal (lateral)
Elevation (vertical)
Buffers
Land use type setbacks
Subdivision by‐law or regulations
Development standards
Development agreements
Transfer of development credits 
Land swap
Land use conversion & re‐development
Variances
Waiver
Land trust
Rolling easements
Conservation easements
Managed retreat and managed abandonment
Abandonment
Foreshore lease
Urban design standards
Conservation subdivision design
Coastal Development Rating System
Site Monitoring 

 
s
l
o
o
T
g
n
d

i

 

l
i

 

u
B
y
t
i
c
a
p
a
C

s
l
o
o
T

 

 

k
r
o
w
e
m
a
r
F
g
n
n
n
a
P
d
n
a
y
c
i
l

l

i

 

 

o
P

 

 

 

s
l
o
o
T
e
g
n
a
h
C
e
s
U
d
n
a
L
 
d
n
a
 
s
n
o
i
t
a
u
g
e
R

l

 

 

e
t
i
S

 

i

g
n
n
n
a
P

l

n
g
i
s
e
D
d
n
a

 

s
l
o
o
T

P ‐ Protect
Pr ‐ Procedural
A ‐ Accommodate
R ‐ Retreat
Av ‐ Avoid

Can be part of 
the  planning 

process

May require a 
new initiative

Time to effectiveness (implementation and 

impact) for climate change adaptation

Short‐term 
adaptation      
(up to 5 years) 

Medium‐term 
adaptation     
(5 to 15 years)

Long‐term 
adaptation    
(15+ years)

x
x
x
x

x
x
x
x

x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x

x
x
x

x
x

x
x

x

x
x
x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x

x

x
x
x

x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x

x
x
x

x
x

x

x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x

x
x

x
x

x
x
x
x

x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x
x

x
x
x
x
x
x
x
x
x
x

 

TABLE 1"
